Current (A);Voltage (V);Electron current (pA) Run #20
-6.197E-13;13.624;0.620
-6.199E-13;13.621;0.620
-6.197E-13;13.622;0.620
-6.227E-13;13.623;0.623
-6.206E-13;13.625;0.621
-6.211E-13;13.658;0.621
-6.238E-13;13.694;0.624
-6.345E-13;13.706;0.635
-6.431E-13;13.709;0.643
-6.520E-13;13.713;0.652
-6.610E-13;13.715;0.661
-6.699E-13;13.714;0.670
-6.710E-13;13.716;0.671
-6.708E-13;13.715;0.671
-6.771E-13;13.716;0.677
-6.782E-13;13.715;0.678
-6.784E-13;13.720;0.678
-6.774E-13;13.719;0.677
-6.801E-13;13.715;0.680
-6.760E-13;13.716;0.676
-6.754E-13;13.719;0.675
-6.811E-13;13.715;0.681
-6.789E-13;13.712;0.679
-6.731E-13;13.720;0.673
-6.768E-13;13.715;0.677
-6.694E-13;13.715;0.669
-6.681E-13;13.719;0.668
-6.722E-13;13.717;0.672
-6.739E-13;13.716;0.674
-6.771E-13;13.719;0.677
-6.713E-13;13.719;0.671
-6.779E-13;13.716;0.678
-6.747E-13;13.718;0.675
-6.770E-13;13.716;0.677
-6.705E-13;13.712;0.670
-6.704E-13;13.717;0.670
-6.648E-13;13.718;0.665
-6.672E-13;13.717;0.667
-6.699E-13;13.717;0.670
-6.742E-13;13.717;0.674
-6.746E-13;13.712;0.675
-6.772E-13;13.714;0.677
-6.761E-13;13.715;0.676
-6.775E-13;13.723;0.677
-6.802E-13;13.780;0.680
-6.864E-13;13.834;0.686
-6.988E-13;13.855;0.699
-7.100E-13;13.865;0.710
-7.292E-13;13.866;0.729
-7.419E-13;13.862;0.742
-7.480E-13;13.869;0.748
-7.590E-13;13.868;0.759
-7.571E-13;13.872;0.757
-7.634E-13;13.862;0.763
-7.666E-13;13.888;0.767
-7.667E-13;13.913;0.767
-7.751E-13;13.962;0.775
-7.830E-13;14.001;0.783
-8.062E-13;14.018;0.806
-8.196E-13;14.040;0.820
-8.432E-13;14.055;0.843
-8.574E-13;14.068;0.857
-8.666E-13;14.085;0.867
-8.769E-13;14.093;0.877
-8.913E-13;14.109;0.891
-9.013E-13;14.154;0.901
-9.120E-13;14.191;0.912
-9.290E-13;14.210;0.929
-9.477E-13;14.216;0.948
