"Current (A) Run #31","Voltage (V) Run #31","Electron current (pA) Run #31"
-5.964E-14,15.636,0.060
-5.673E-14,15.814,0.057
-5.677E-14,15.880,0.057
-5.542E-14,16.000,0.055
-5.476E-14,16.097,0.055
-5.327E-14,16.131,0.053
-5.597E-14,16.265,0.056
-5.988E-14,16.406,0.060
-5.635E-14,16.445,0.056
-6.029E-14,16.534,0.060
-6.134E-14,16.708,0.061
-6.136E-14,16.777,0.061
-6.216E-14,16.885,0.062
-6.434E-14,17.003,0.064
-6.699E-14,17.051,0.067
-6.205E-14,17.124,0.062
-6.119E-14,17.250,0.061
-6.417E-14,17.302,0.064
-6.820E-14,17.380,0.068
-6.963E-14,17.504,0.070
-7.255E-14,17.553,0.073
-6.294E-14,17.587,0.063
-6.622E-14,17.727,0.066
-6.449E-14,17.828,0.064
-6.823E-14,17.870,0.068
-6.907E-14,17.946,0.069
-7.361E-14,18.017,0.074
-7.382E-14,18.042,0.074
-7.251E-14,18.160,0.073
-7.212E-14,18.281,0.072
-7.485E-14,18.323,0.075
-7.495E-14,18.435,0.075
-7.139E-14,18.548,0.071
-7.361E-14,18.591,0.074
-7.487E-14,18.675,0.075
-7.583E-14,18.732,0.076
-7.623E-14,18.774,0.076
-7.926E-14,18.889,0.079
-8.280E-14,18.943,0.083
-7.906E-14,18.983,0.079
-7.802E-14,19.051,0.078
-8.326E-14,19.089,0.083
-8.484E-14,19.115,0.085
-8.418E-14,19.238,0.084
-8.340E-14,19.327,0.083
-8.501E-14,19.364,0.085
-8.604E-14,19.460,0.086
-8.436E-14,19.544,0.084
-8.738E-14,19.579,0.087
-8.582E-14,19.693,0.086
-8.993E-14,19.755,0.090
-8.792E-14,19.799,0.088
-8.947E-14,19.879,0.089
-8.751E-14,19.899,0.088
-9.167E-14,19.939,0.092
-9.050E-14,20.103,0.091
-9.016E-14,20.191,0.090
-9.403E-14,20.270,0.094
-9.325E-14,20.399,0.093
-9.838E-14,20.456,0.098
-9.899E-14,20.628,0.099
-9.449E-14,20.838,0.094
-9.781E-14,20.917,0.098
-9.912E-14,20.995,0.099
-9.335E-14,21.129,0.093
-9.869E-14,21.191,0.099
-9.739E-14,21.275,0.097
-9.911E-14,21.361,0.099
-9.780E-14,21.411,0.098
-9.900E-14,21.563,0.099
-1.028E-13,21.689,0.103
-1.020E-13,21.744,0.102
-1.047E-13,21.882,0.105
-1.041E-13,21.983,0.104
-1.051E-13,22.047,0.105
-1.055E-13,22.172,0.106
-1.063E-13,22.230,0.106
-1.083E-13,22.294,0.108
-1.079E-13,22.376,0.108
-1.128E-13,22.411,0.113
-1.098E-13,22.506,0.110
-1.130E-13,22.635,0.113
-1.137E-13,22.682,0.114
-1.142E-13,22.789,0.114
-1.174E-13,22.899,0.117
-1.152E-13,22.942,0.115
-1.140E-13,22.998,0.114
-1.174E-13,23.040,0.117
-1.162E-13,23.065,0.116
-1.158E-13,23.191,0.116
-1.123E-13,23.286,0.112
-1.182E-13,23.318,0.118
-1.154E-13,23.412,0.115
-1.166E-13,23.468,0.117
-1.182E-13,23.518,0.118
-1.223E-13,23.615,0.122
-1.195E-13,23.660,0.119
-1.198E-13,23.759,0.120
-1.179E-13,23.890,0.118
-1.184E-13,23.936,0.118
-1.149E-13,23.984,0.115
-1.092E-13,24.036,0.109
-1.175E-13,24.059,0.117
-1.154E-13,24.072,0.115
-1.152E-13,24.106,0.115
-1.167E-13,24.129,0.117
-1.188E-13,24.146,0.119
-1.182E-13,24.265,0.118
-1.260E-13,24.362,0.126
-1.242E-13,24.390,0.124
-1.225E-13,24.405,0.122
-1.227E-13,24.405,0.123
-1.220E-13,24.407,0.122
-1.215E-13,24.402,0.121
-1.189E-13,24.401,0.119
-1.195E-13,24.408,0.119
-1.276E-13,24.407,0.128
-1.234E-13,24.411,0.123
-1.186E-13,24.494,0.119
-1.234E-13,24.602,0.123
-1.268E-13,24.645,0.127
-1.217E-13,24.706,0.122
-1.206E-13,24.826,0.121
-1.207E-13,24.894,0.121
-1.201E-13,24.951,0.120
-1.220E-13,25.081,0.122
-1.258E-13,25.164,0.126
-1.265E-13,25.196,0.126
-1.291E-13,25.240,0.129
-1.288E-13,25.339,0.129
-1.251E-13,25.410,0.125
-1.263E-13,25.441,0.126
-1.233E-13,25.480,0.123
-1.257E-13,25.526,0.126
-1.243E-13,25.542,0.124
-1.239E-13,25.546,0.124
-1.278E-13,25.593,0.128
-1.240E-13,25.636,0.124
-1.262E-13,25.653,0.126
-1.223E-13,25.703,0.122
-1.248E-13,25.769,0.125
-1.266E-13,25.790,0.127
-1.265E-13,25.842,0.126
-1.295E-13,25.954,0.130
-1.241E-13,26.002,0.124
-1.257E-13,26.022,0.126
-1.293E-13,26.071,0.129
-1.231E-13,26.136,0.123
-1.247E-13,26.163,0.125
-1.257E-13,26.225,0.126
-1.287E-13,26.361,0.129
-1.289E-13,26.428,0.129
-1.311E-13,26.454,0.131
-1.303E-13,26.509,0.130
-1.315E-13,26.580,0.131
-1.254E-13,26.613,0.125
-1.255E-13,26.666,0.125
-1.258E-13,26.761,0.126
-1.301E-13,26.822,0.130
-1.259E-13,26.838,0.126
-1.273E-13,26.867,0.127
-1.272E-13,26.921,0.127
