Current (A),Voltage (V),Electron current (pA)
-6.772E-12,26.999,6.772
-6.777E-12,27.009,6.777
-6.776E-12,27.039,6.776
-6.779E-12,27.058,6.779
-6.781E-12,27.075,6.781
-6.779E-12,27.087,6.779
-6.782E-12,27.104,6.782
-6.779E-12,27.133,6.779
-6.780E-12,27.158,6.780
-6.788E-12,27.178,6.788
-6.785E-12,27.194,6.785
-6.786E-12,27.209,6.786
-6.789E-12,27.221,6.789
-6.791E-12,27.242,6.791
-6.792E-12,27.275,6.792
-6.798E-12,27.299,6.798
-6.801E-12,27.307,6.801
-6.804E-12,27.313,6.804
-6.812E-12,27.335,6.812
-6.814E-12,27.364,6.814
-6.819E-12,27.405,6.819
-6.823E-12,27.431,6.823
-6.833E-12,27.459,6.833
-6.836E-12,27.482,6.836
-6.846E-12,27.513,6.846
-6.858E-12,27.563,6.858
-6.868E-12,27.617,6.868
-6.875E-12,27.640,6.875
-6.883E-12,27.651,6.883
-6.891E-12,27.661,6.891
-6.899E-12,27.690,6.899
-6.911E-12,27.721,6.911
-6.926E-12,27.725,6.926
-6.934E-12,27.742,6.934
-6.946E-12,27.766,6.946
-6.957E-12,27.790,6.957
-6.973E-12,27.832,6.973
-6.984E-12,27.850,6.984
-6.999E-12,27.870,6.999
-7.014E-12,27.884,7.014
-7.031E-12,27.895,7.031
-7.047E-12,27.910,7.047
-7.058E-12,27.934,7.058
-7.075E-12,27.949,7.075
-7.088E-12,27.963,7.088
-7.102E-12,27.991,7.102
-7.111E-12,28.015,7.111
-7.138E-12,28.029,7.138
-7.152E-12,28.031,7.152
-7.164E-12,28.031,7.164
-7.177E-12,28.019,7.177
-7.186E-12,28.017,7.186
-7.191E-12,28.016,7.191
-7.195E-12,28.017,7.195
-7.204E-12,28.015,7.204
-7.209E-12,28.016,7.209
-7.218E-12,28.018,7.218
-7.224E-12,28.018,7.224
-7.230E-12,28.029,7.230
-7.240E-12,28.023,7.240
-7.245E-12,28.023,7.245
-7.252E-12,28.023,7.252
-7.255E-12,28.024,7.255
-7.263E-12,28.042,7.263
-7.270E-12,28.086,7.270
-7.286E-12,28.154,7.286
-7.310E-12,28.190,7.310
-7.342E-12,28.200,7.342
-7.365E-12,28.205,7.365
-7.394E-12,28.208,7.394
-7.412E-12,28.216,7.412
-7.425E-12,28.236,7.425
-7.442E-12,28.241,7.442
-7.459E-12,28.250,7.459
-7.473E-12,28.262,7.473
-7.489E-12,28.270,7.489
-7.504E-12,28.299,7.504
-7.519E-12,28.316,7.519
-7.539E-12,28.330,7.539
-7.555E-12,28.345,7.555
-7.576E-12,28.353,7.576
-7.595E-12,28.360,7.595
-7.618E-12,28.368,7.618
-7.636E-12,28.379,7.636
-7.653E-12,28.394,7.653
-7.669E-12,28.408,7.669
-7.686E-12,28.422,7.686
-7.705E-12,28.460,7.705
-7.723E-12,28.448,7.723
-7.741E-12,28.464,7.741
-7.764E-12,28.475,7.764
-7.786E-12,28.491,7.786
-7.809E-12,28.505,7.809
-7.826E-12,28.516,7.826
-7.842E-12,28.523,7.842
-7.867E-12,28.532,7.867
-7.886E-12,28.546,7.886
-7.905E-12,28.546,7.905
-7.917E-12,28.553,7.917
-7.932E-12,28.561,7.932
-7.946E-12,28.569,7.946
-7.957E-12,28.574,7.957
-7.977E-12,28.586,7.977
-7.993E-12,28.592,7.993
-8.005E-12,28.601,8.005
-8.021E-12,28.606,8.021
-8.036E-12,28.611,8.036
-8.051E-12,28.620,8.051
-8.061E-12,28.617,8.061
-8.073E-12,28.623,8.073
-8.082E-12,28.632,8.082
-8.098E-12,28.642,8.098
-8.111E-12,28.649,8.111
-8.118E-12,28.651,8.118
-8.135E-12,28.657,8.135
-8.146E-12,28.668,8.146
-8.163E-12,28.676,8.163
-8.175E-12,28.687,8.175
-8.195E-12,28.699,8.195
-8.215E-12,28.712,8.215
-8.222E-12,28.713,8.222
-8.243E-12,28.728,8.243
-8.258E-12,28.740,8.258
-8.275E-12,28.760,8.275
-8.297E-12,28.771,8.297
-8.317E-12,28.785,8.317
-8.340E-12,28.784,8.340
-8.362E-12,28.785,8.362
-8.378E-12,28.787,8.378
-8.393E-12,28.797,8.393
-8.407E-12,28.808,8.407
-8.422E-12,28.804,8.422
-8.433E-12,28.804,8.433
-8.438E-12,28.807,8.438
-8.452E-12,28.816,8.452
-8.460E-12,28.829,8.460
-8.476E-12,28.837,8.476
-8.493E-12,28.856,8.493
-8.509E-12,28.873,8.509
-8.531E-12,28.886,8.531
-8.553E-12,28.894,8.553
-8.577E-12,28.901,8.577
-8.594E-12,28.918,8.594
-8.613E-12,28.915,8.613
-8.632E-12,28.918,8.632
-8.648E-12,28.928,8.648
-8.665E-12,28.930,8.665
-8.680E-12,28.929,8.680
-8.689E-12,28.936,8.689
-8.693E-12,28.938,8.693
-8.712E-12,28.943,8.712
-8.723E-12,28.951,8.723
-8.737E-12,28.953,8.737
-8.752E-12,28.957,8.752
-8.764E-12,28.958,8.764
-8.778E-12,28.965,8.778
-8.786E-12,28.970,8.786
-8.797E-12,28.976,8.797
-8.813E-12,28.975,8.813
-8.821E-12,28.978,8.821
-8.830E-12,28.990,8.830
-8.840E-12,28.999,8.840
-8.858E-12,29.004,8.858
-8.868E-12,29.008,8.868
-8.887E-12,29.010,8.887
-8.898E-12,29.016,8.898
-8.906E-12,29.014,8.906
-8.919E-12,29.020,8.919
-8.925E-12,29.026,8.925
-8.934E-12,29.035,8.934
-8.944E-12,29.034,8.944
-8.954E-12,29.038,8.954
-8.965E-12,29.062,8.965
-8.977E-12,29.051,8.977
-8.993E-12,29.056,8.993
-9.001E-12,29.065,9.001
-9.013E-12,29.068,9.013
-9.035E-12,29.076,9.035
-9.043E-12,29.085,9.043
-9.058E-12,29.095,9.058
-9.071E-12,29.107,9.071
-9.078E-12,29.123,9.078
-9.095E-12,29.130,9.095
-9.114E-12,29.134,9.114
-9.131E-12,29.135,9.131
-9.146E-12,29.147,9.146
-9.159E-12,29.165,9.159
-9.186E-12,29.170,9.186
-9.214E-12,29.181,9.214
-9.244E-12,29.182,9.244
-9.271E-12,29.185,9.271
-9.286E-12,29.188,9.286
-9.300E-12,29.196,9.300
-9.319E-12,29.206,9.319
-9.334E-12,29.213,9.334
-9.351E-12,29.220,9.351
-9.370E-12,29.225,9.370
-9.387E-12,29.236,9.387
-9.402E-12,29.269,9.402
-9.427E-12,29.289,9.427
-9.457E-12,29.303,9.457
-9.495E-12,29.308,9.495
-9.527E-12,29.314,9.527
-9.556E-12,29.318,9.556
-9.578E-12,29.326,9.578
-9.600E-12,29.340,9.600
-9.620E-12,29.347,9.620
-9.640E-12,29.353,9.640
-9.659E-12,29.363,9.659
-9.681E-12,29.371,9.681
-9.698E-12,29.383,9.698
-9.709E-12,29.394,9.709
-9.734E-12,29.408,9.734
-9.752E-12,29.419,9.752
-9.779E-12,29.426,9.779
-9.805E-12,29.443,9.805
-9.826E-12,29.441,9.826
-9.845E-12,29.442,9.845
-9.861E-12,29.446,9.861
-9.869E-12,29.458,9.869
-9.887E-12,29.460,9.887
-9.901E-12,29.462,9.901
-9.916E-12,29.467,9.916
-9.929E-12,29.475,9.929
-9.939E-12,29.482,9.939
-9.955E-12,29.485,9.955
-9.975E-12,29.493,9.975
-9.988E-12,29.498,9.988
-1.000E-11,29.519,10.003
-1.002E-11,29.516,10.018
-1.004E-11,29.519,10.038
-1.005E-11,29.524,10.051
-1.007E-11,29.544,10.070
-1.008E-11,29.538,10.081
-1.009E-11,29.540,10.094
-1.011E-11,29.557,10.105
-1.012E-11,29.560,10.122
-1.014E-11,29.579,10.143
-1.016E-11,29.588,10.164
-1.019E-11,29.594,10.187
-1.021E-11,29.602,10.211
-1.023E-11,29.608,10.226
-1.025E-11,29.621,10.249
-1.027E-11,29.631,10.270
-1.029E-11,29.645,10.288
-1.031E-11,29.650,10.315
-1.033E-11,29.654,10.331
-1.035E-11,29.663,10.354
-1.038E-11,29.667,10.376
-1.039E-11,29.686,10.394
-1.041E-11,29.692,10.414
-1.043E-11,29.690,10.434
-1.046E-11,29.695,10.456
-1.047E-11,29.702,10.468
-1.048E-11,29.706,10.475
-1.049E-11,29.711,10.491
-1.050E-11,29.729,10.505
-1.052E-11,29.741,10.522
-1.055E-11,29.748,10.546
-1.057E-11,29.758,10.567
-1.059E-11,29.765,10.591
-1.061E-11,29.766,10.614
-1.063E-11,29.781,10.633
-1.065E-11,29.783,10.646
-1.067E-11,29.787,10.666
-1.068E-11,29.797,10.684
-1.070E-11,29.810,10.697
-1.072E-11,29.818,10.720
-1.073E-11,29.824,10.735
-1.076E-11,29.833,10.758
-1.078E-11,29.841,10.776
-1.079E-11,29.843,10.795
-1.082E-11,29.859,10.817
-1.083E-11,29.859,10.834
-1.085E-11,29.864,10.854
-1.087E-11,29.864,10.865
-1.089E-11,29.865,10.886
-1.089E-11,29.874,10.894
-1.090E-11,29.880,10.904
-1.092E-11,29.889,10.916
-1.093E-11,29.898,10.928
-1.095E-11,29.899,10.945
-1.096E-11,29.913,10.962
-1.098E-11,29.924,10.978
-1.100E-11,29.933,11.000
-1.102E-11,29.938,11.019
-1.104E-11,29.939,11.038
-1.106E-11,29.938,11.056
-1.107E-11,29.943,11.074
-1.109E-11,29.952,11.086
-1.110E-11,29.962,11.098
-1.111E-11,29.969,11.109
-1.112E-11,29.988,11.124
-1.115E-11,30.009,11.148
-1.118E-11,30.026,11.180
-1.122E-11,30.037,11.218
-1.125E-11,30.032,11.254
-1.128E-11,30.039,11.279
-1.130E-11,30.038,11.302
-1.132E-11,30.044,11.320
-1.133E-11,30.050,11.333
-1.135E-11,30.069,11.347
-1.137E-11,30.074,11.370
-1.139E-11,30.078,11.390
-1.141E-11,30.078,11.410
-1.142E-11,30.082,11.421
-1.144E-11,30.094,11.437
-1.145E-11,30.113,11.454
-1.147E-11,30.125,11.473
-1.150E-11,30.132,11.500
-1.152E-11,30.153,11.523
-1.156E-11,30.162,11.555
-1.158E-11,30.177,11.581
-1.161E-11,30.184,11.611
-1.164E-11,30.186,11.635
-1.166E-11,30.188,11.661
-1.168E-11,30.194,11.683
-1.170E-11,30.206,11.702
-1.171E-11,30.223,11.710
-1.174E-11,30.240,11.737
-1.176E-11,30.257,11.765
-1.180E-11,30.296,11.795
-1.184E-11,30.340,11.838
-1.190E-11,30.361,11.896
-1.195E-11,30.373,11.954
-1.202E-11,30.382,12.016
-1.206E-11,30.401,12.061
-1.210E-11,30.427,12.099
-1.214E-11,30.447,12.145
-1.219E-11,30.460,12.190
-1.224E-11,30.477,12.236
-1.228E-11,30.490,12.278
-1.232E-11,30.498,12.324
-1.236E-11,30.520,12.362
-1.240E-11,30.528,12.400
-1.244E-11,30.532,12.440
-1.247E-11,30.532,12.472
-1.250E-11,30.543,12.497
-1.252E-11,30.553,12.517
-1.254E-11,30.552,12.539
-1.255E-11,30.554,12.552
-1.256E-11,30.554,12.563
-1.257E-11,30.560,12.573
-1.258E-11,30.571,12.582
-1.259E-11,30.583,12.593
-1.261E-11,30.583,12.611
-1.263E-11,30.588,12.633
-1.265E-11,30.597,12.645
-1.266E-11,30.599,12.659
-1.267E-11,30.612,12.665
-1.269E-11,30.607,12.689
-1.270E-11,30.627,12.702
-1.272E-11,30.638,12.720
-1.274E-11,30.645,12.743
-1.276E-11,30.648,12.765
-1.278E-11,30.652,12.780
-1.279E-11,30.662,12.793
-1.281E-11,30.666,12.809
-1.282E-11,30.673,12.824
-1.284E-11,30.687,12.840
-1.285E-11,30.697,12.853
-1.287E-11,30.699,12.874
-1.289E-11,30.701,12.894
-1.291E-11,30.703,12.909
-1.292E-11,30.725,12.918
-1.294E-11,30.731,12.937
-1.295E-11,30.758,12.953
-1.299E-11,30.779,12.986
-1.302E-11,30.803,13.018
-1.306E-11,30.813,13.064
-1.311E-11,30.827,13.108
-1.315E-11,30.851,13.147
-1.319E-11,30.860,13.187
-1.322E-11,30.882,13.224
-1.326E-11,30.909,13.263
-1.330E-11,30.909,13.304
-1.335E-11,30.920,13.348
-1.338E-11,30.933,13.384
-1.342E-11,30.952,13.416
-1.345E-11,30.974,13.452
-1.349E-11,30.985,13.491
-1.353E-11,30.996,13.526
-1.356E-11,31.007,13.560
-1.359E-11,31.019,13.590
-1.362E-11,31.037,13.620
-1.365E-11,31.053,13.649
-1.368E-11,31.062,13.681
-1.371E-11,31.067,13.712
-1.374E-11,31.077,13.741
-1.376E-11,31.108,13.763
-1.379E-11,31.146,13.791
-1.383E-11,31.173,13.831
-1.388E-11,31.189,13.876
-1.393E-11,31.184,13.927
-1.397E-11,31.183,13.967
-1.400E-11,31.184,13.995
-1.402E-11,31.181,14.017
-1.403E-11,31.187,14.032
-1.404E-11,31.185,14.036
-1.404E-11,31.189,14.039
-1.405E-11,31.185,14.048
-1.405E-11,31.186,14.047
-1.405E-11,31.189,14.050
-1.405E-11,31.184,14.047
-1.405E-11,31.184,14.045
-1.405E-11,31.179,14.045
-1.405E-11,31.186,14.049
-1.404E-11,31.191,14.044
-1.405E-11,31.197,14.048
-1.406E-11,31.213,14.060
-1.406E-11,31.255,14.065
-1.409E-11,31.316,14.091
-1.414E-11,31.348,14.137
-1.420E-11,31.389,14.204
-1.429E-11,31.429,14.286
-1.437E-11,31.454,14.367
-1.445E-11,31.465,14.447
-1.451E-11,31.490,14.514
-1.457E-11,31.504,14.568
-1.462E-11,31.514,14.617
-1.466E-11,31.524,14.658
-1.469E-11,31.526,14.689
-1.472E-11,31.529,14.717
-1.474E-11,31.538,14.736
-1.475E-11,31.550,14.752
-1.477E-11,31.555,14.768
-1.478E-11,31.561,14.785
-1.480E-11,31.570,14.802
-1.482E-11,31.581,14.817
-1.484E-11,31.584,14.836
-1.485E-11,31.605,14.850
-1.487E-11,31.611,14.868
-1.489E-11,31.623,14.888
-1.490E-11,31.622,14.904
-1.492E-11,31.623,14.921
-1.493E-11,31.629,14.935
-1.494E-11,31.634,14.941
-1.495E-11,31.653,14.952
-1.497E-11,31.667,14.967
-1.498E-11,31.676,14.985
-1.501E-11,31.677,15.008
-1.503E-11,31.683,15.030
-1.504E-11,31.680,15.044
-1.505E-11,31.680,15.053
-1.506E-11,31.683,15.057
-1.505E-11,31.682,15.055
-1.506E-11,31.680,15.062
-1.506E-11,31.681,15.065
-1.506E-11,31.681,15.064
-1.506E-11,31.685,15.057
-1.506E-11,31.692,15.058
-1.507E-11,31.700,15.068
-1.508E-11,31.703,15.076
-1.508E-11,31.701,15.083
-1.509E-11,31.707,15.092
-1.510E-11,31.715,15.098
-1.511E-11,31.720,15.110
-1.512E-11,31.742,15.122
-1.514E-11,31.746,15.137
-1.515E-11,31.749,15.150
-1.516E-11,31.755,15.165
-1.518E-11,31.759,15.182
-1.519E-11,31.767,15.194
-1.520E-11,31.758,15.199
-1.520E-11,31.758,15.201
-1.521E-11,31.767,15.207
-1.522E-11,31.773,15.217
-1.522E-11,31.778,15.222
-1.523E-11,31.780,15.234
-1.524E-11,31.781,15.242
-1.525E-11,31.786,15.251
-1.526E-11,31.796,15.257
-1.527E-11,31.795,15.271
-1.528E-11,31.793,15.277
-1.528E-11,31.796,15.282
-1.529E-11,31.809,15.287
-1.529E-11,31.813,15.292
-1.531E-11,31.819,15.307
-1.531E-11,31.828,15.313
-1.532E-11,31.851,15.322
-1.534E-11,31.869,15.344
-1.536E-11,31.883,15.363
-1.540E-11,31.895,15.396
-1.542E-11,31.908,15.424
-1.545E-11,31.914,15.454
-1.548E-11,31.920,15.476
-1.549E-11,31.926,15.494
-1.551E-11,31.939,15.508
-1.553E-11,31.955,15.527
-1.554E-11,31.963,15.540
-1.556E-11,31.977,15.560
-1.559E-11,32.000,15.587
-1.562E-11,32.015,15.616
-1.564E-11,32.037,15.645
-1.567E-11,32.050,15.673
-1.570E-11,32.055,15.703
-1.573E-11,32.066,15.732
-1.575E-11,32.075,15.750
-1.577E-11,32.089,15.772
-1.579E-11,32.100,15.790
-1.581E-11,32.106,15.810
-1.583E-11,32.105,15.829
-1.584E-11,32.108,15.845
-1.585E-11,32.108,15.854
-1.586E-11,32.109,15.859
-1.586E-11,32.113,15.861
-1.586E-11,32.122,15.865
-1.587E-11,32.126,15.870
-1.588E-11,32.141,15.878
-1.588E-11,32.153,15.885
-1.590E-11,32.166,15.898
-1.592E-11,32.176,15.919
-1.594E-11,32.182,15.939
-1.596E-11,32.208,15.956
-1.598E-11,32.220,15.981
-1.600E-11,32.234,16.002
-1.602E-11,32.240,16.022
-1.604E-11,32.243,16.041
-1.606E-11,32.246,16.061
-1.607E-11,32.252,16.072
-1.608E-11,32.265,16.083
-1.609E-11,32.275,16.094
-1.611E-11,32.287,16.106
-1.612E-11,32.300,16.120
-1.614E-11,32.309,16.141
-1.616E-11,32.312,16.157
-1.617E-11,32.308,16.173
-1.619E-11,32.309,16.186
-1.619E-11,32.312,16.189
-1.619E-11,32.314,16.193
-1.620E-11,32.314,16.196
-1.619E-11,32.309,16.192
-1.620E-11,32.324,16.199
-1.620E-11,32.329,16.197
-1.620E-11,32.328,16.202
-1.621E-11,32.334,16.206
-1.621E-11,32.347,16.214
-1.622E-11,32.361,16.222
-1.624E-11,32.377,16.237
-1.625E-11,32.381,16.250
-1.626E-11,32.394,16.262
-1.628E-11,32.417,16.276
-1.630E-11,32.436,16.297
-1.632E-11,32.445,16.315
-1.634E-11,32.455,16.343
-1.637E-11,32.472,16.367
-1.638E-11,32.490,16.384
-1.641E-11,32.527,16.410
-1.643E-11,32.567,16.433
-1.646E-11,32.586,16.465
-1.651E-11,32.593,16.511
-1.654E-11,32.597,16.544
-1.657E-11,32.598,16.570
-1.659E-11,32.597,16.587
-1.660E-11,32.603,16.597
-1.661E-11,32.622,16.607
-1.661E-11,32.638,16.611
-1.663E-11,32.655,16.629
-1.665E-11,32.666,16.645
-1.667E-11,32.693,16.668
-1.669E-11,32.719,16.693
-1.672E-11,32.749,16.717
-1.674E-11,32.762,16.744
-1.678E-11,32.781,16.776
-1.680E-11,32.799,16.798
-1.683E-11,32.825,16.827
-1.685E-11,32.841,16.847
-1.687E-11,32.847,16.872
-1.689E-11,32.858,16.893
-1.692E-11,32.874,16.919
-1.694E-11,32.888,16.935
-1.695E-11,32.895,16.953
-1.696E-11,32.902,16.965
-1.698E-11,32.904,16.976
-1.699E-11,32.925,16.990
-1.700E-11,32.944,17.004
-1.701E-11,32.954,17.012
-1.703E-11,32.973,17.031
-1.705E-11,32.993,17.046
-1.707E-11,33.015,17.065
-1.708E-11,33.024,17.083
-1.710E-11,33.034,17.104
-1.712E-11,33.045,17.123
-1.714E-11,33.054,17.135
-1.715E-11,33.074,17.150
-1.716E-11,33.097,17.160
-1.718E-11,33.114,17.176
-1.720E-11,33.131,17.196
-1.721E-11,33.144,17.214
-1.723E-11,33.159,17.234
-1.725E-11,33.167,17.248
-1.726E-11,33.172,17.263
-1.727E-11,33.177,17.271
-1.728E-11,33.188,17.276
-1.729E-11,33.195,17.288
-1.729E-11,33.213,17.294
-1.730E-11,33.230,17.302
-1.731E-11,33.250,17.310
-1.733E-11,33.264,17.329
-1.734E-11,33.282,17.340
-1.736E-11,33.281,17.357
-1.736E-11,33.291,17.362
-1.737E-11,33.311,17.368
-1.738E-11,33.323,17.379
-1.739E-11,33.335,17.388
-1.740E-11,33.336,17.398
-1.741E-11,33.330,17.408
-1.741E-11,33.332,17.409
-1.741E-11,33.333,17.415
-1.742E-11,33.330,17.415
-1.742E-11,33.330,17.420
-1.741E-11,33.329,17.414
-1.741E-11,33.330,17.413
-1.741E-11,33.331,17.413
-1.741E-11,33.344,17.414
-1.742E-11,33.355,17.419
-1.742E-11,33.370,17.422
-1.742E-11,33.411,17.424
-1.743E-11,33.448,17.433
-1.745E-11,33.463,17.449
-1.747E-11,33.499,17.471
-1.749E-11,33.529,17.489
-1.750E-11,33.557,17.503
-1.753E-11,33.587,17.525
-1.754E-11,33.623,17.539
-1.756E-11,33.645,17.558
-1.757E-11,33.665,17.572
-1.759E-11,33.686,17.585
-1.760E-11,33.727,17.599
-1.760E-11,33.744,17.602
-1.761E-11,33.788,17.608
-1.762E-11,33.812,17.622
-1.763E-11,33.834,17.634
-1.764E-11,33.845,17.642
-1.765E-11,33.879,17.648
-1.766E-11,33.917,17.655
-1.766E-11,33.945,17.657
-1.766E-11,33.976,17.665
-1.767E-11,34.020,17.669
-1.767E-11,34.049,17.672
-1.767E-11,34.059,17.671
-1.768E-11,34.067,17.676
-1.767E-11,34.094,17.670
-1.768E-11,34.117,17.677
-1.767E-11,34.139,17.674
-1.767E-11,34.167,17.671
-1.767E-11,34.200,17.667
-1.766E-11,34.235,17.661
-1.765E-11,34.251,17.655
-1.766E-11,34.274,17.655
-1.765E-11,34.295,17.649
-1.765E-11,34.316,17.645
-1.764E-11,34.335,17.637
-1.763E-11,34.345,17.631
-1.763E-11,34.364,17.630
-1.762E-11,34.367,17.623
-1.762E-11,34.369,17.616
-1.762E-11,34.386,17.618
-1.761E-11,34.405,17.612
-1.761E-11,34.434,17.609
-1.760E-11,34.441,17.604
-1.760E-11,34.465,17.604
-1.759E-11,34.478,17.594
-1.759E-11,34.490,17.586
-1.758E-11,34.498,17.579
-1.757E-11,34.511,17.575
-1.757E-11,34.526,17.570
-1.756E-11,34.545,17.563
-1.756E-11,34.562,17.557
-1.755E-11,34.587,17.550
-1.754E-11,34.613,17.540
-1.753E-11,34.634,17.534
-1.752E-11,34.667,17.521
-1.751E-11,34.690,17.507
-1.749E-11,34.711,17.486
-1.747E-11,34.734,17.472
-1.746E-11,34.759,17.458
-1.744E-11,34.785,17.437
-1.742E-11,34.813,17.422
-1.740E-11,34.835,17.405
-1.738E-11,34.864,17.384
-1.736E-11,34.894,17.363
-1.734E-11,34.912,17.338
-1.732E-11,34.924,17.316
-1.730E-11,34.939,17.297
-1.728E-11,34.961,17.276
-1.726E-11,34.976,17.263
-1.724E-11,34.982,17.244
-1.723E-11,34.990,17.229
-1.722E-11,35.006,17.217
-1.720E-11,35.026,17.204
-1.719E-11,35.038,17.191
-1.718E-11,35.057,17.178
-1.716E-11,35.057,17.165
-1.715E-11,35.077,17.153
-1.714E-11,35.097,17.138
-1.712E-11,35.120,17.124
-1.711E-11,35.135,17.106
-1.708E-11,35.153,17.083
-1.706E-11,35.155,17.064
-1.705E-11,35.173,17.046
-1.703E-11,35.202,17.027
-1.701E-11,35.226,17.012
-1.699E-11,35.245,16.989
-1.696E-11,35.263,16.962
-1.694E-11,35.292,16.942
-1.692E-11,35.309,16.917
-1.689E-11,35.346,16.887
-1.686E-11,35.386,16.861
-1.682E-11,35.418,16.822
-1.678E-11,35.419,16.782
-1.674E-11,35.421,16.741
-1.671E-11,35.380,16.712
-1.671E-11,35.346,16.711
-1.672E-11,35.334,16.725
-1.675E-11,35.340,16.754
-1.678E-11,35.362,16.784
-1.679E-11,35.397,16.794
-1.679E-11,35.433,16.791
-1.677E-11,35.467,16.770
-1.674E-11,35.499,16.740
-1.670E-11,35.526,16.699
-1.665E-11,35.543,16.653
-1.661E-11,35.564,16.608
-1.657E-11,35.587,16.574
-1.654E-11,35.598,16.541
-1.651E-11,35.624,16.507
-1.648E-11,35.636,16.482
-1.645E-11,35.645,16.453
-1.643E-11,35.663,16.426
-1.640E-11,35.683,16.403
-1.638E-11,35.718,16.382
-1.636E-11,35.754,16.356
-1.632E-11,35.781,16.321
-1.628E-11,35.809,16.277
-1.623E-11,35.833,16.229
-1.618E-11,35.865,16.182
-1.613E-11,35.887,16.132
-1.608E-11,35.906,16.080
-1.603E-11,35.922,16.035
-1.599E-11,35.939,15.994
-1.596E-11,35.948,15.964
-1.593E-11,35.963,15.930
-1.591E-11,35.982,15.908
-1.589E-11,35.991,15.887
-1.586E-11,36.003,15.858
-1.583E-11,36.021,15.831
-1.580E-11,36.040,15.798
-1.577E-11,36.044,15.771
-1.574E-11,36.065,15.742
-1.571E-11,36.080,15.713
-1.569E-11,36.084,15.692
-1.567E-11,36.082,15.667
-1.565E-11,36.075,15.651
-1.565E-11,36.074,15.649
-1.565E-11,36.078,15.646
-1.565E-11,36.077,15.651
-1.566E-11,36.079,15.657
-1.567E-11,36.082,15.669
-1.567E-11,36.078,15.673
-1.568E-11,36.080,15.683
-1.569E-11,36.081,15.691
-1.570E-11,36.078,15.700
-1.572E-11,36.080,15.715
-1.573E-11,36.079,15.727
-1.574E-11,36.079,15.740
-1.575E-11,36.074,15.752
-1.576E-11,36.080,15.759
-1.576E-11,36.074,15.764
-1.577E-11,36.079,15.771
-1.578E-11,36.082,15.784
-1.579E-11,36.079,15.787
-1.579E-11,36.079,15.791
-1.580E-11,36.075,15.795
-1.581E-11,36.079,15.805
-1.581E-11,36.080,15.815
-1.582E-11,36.079,15.822
-1.583E-11,36.074,15.833
-1.584E-11,36.084,15.837
-1.585E-11,36.081,15.846
-1.585E-11,36.079,15.850
-1.586E-11,36.078,15.857
-1.586E-11,36.080,15.864
-1.587E-11,36.079,15.867
-1.588E-11,36.084,15.876
-1.588E-11,36.087,15.877
-1.588E-11,36.096,15.879
-1.588E-11,36.117,15.877
-1.587E-11,36.144,15.870
-1.585E-11,36.160,15.849
-1.582E-11,36.178,15.825
-1.579E-11,36.198,15.793
-1.576E-11,36.220,15.757
-1.572E-11,36.234,15.719
-1.568E-11,36.240,15.681
-1.565E-11,36.254,15.653
-1.563E-11,36.292,15.625
-1.559E-11,36.310,15.590
-1.556E-11,36.326,15.556
-1.551E-11,36.343,15.512
-1.547E-11,36.353,15.467
-1.543E-11,36.357,15.425
-1.540E-11,36.369,15.400
-1.538E-11,36.372,15.378
-1.536E-11,36.371,15.361
-1.535E-11,36.379,15.346
-1.534E-11,36.397,15.335
-1.533E-11,36.408,15.327
-1.530E-11,36.413,15.304
-1.529E-11,36.418,15.289
-1.527E-11,36.428,15.274
-1.526E-11,36.426,15.257
-1.525E-11,36.442,15.246
-1.524E-11,36.442,15.239
-1.523E-11,36.450,15.230
-1.522E-11,36.446,15.222
-1.521E-11,36.457,15.210
-1.520E-11,36.460,15.203
-1.520E-11,36.465,15.198
-1.519E-11,36.469,15.192
-1.518E-11,36.480,15.185
-1.518E-11,36.484,15.184
-1.518E-11,36.489,15.181
-1.517E-11,36.497,15.173
-1.516E-11,36.505,15.159
-1.515E-11,36.507,15.149
-1.514E-11,36.514,15.143
-1.513E-11,36.522,15.130
-1.512E-11,36.519,15.121
-1.512E-11,36.526,15.117
-1.511E-11,36.527,15.109
-1.511E-11,36.536,15.107
-1.510E-11,36.552,15.105
-1.509E-11,36.560,15.093
-1.508E-11,36.565,15.079
-1.507E-11,36.566,15.066
-1.506E-11,36.573,15.058
-1.504E-11,36.582,15.043
-1.503E-11,36.583,15.028
-1.503E-11,36.584,15.028
-1.502E-11,36.598,15.020
-1.502E-11,36.597,15.022
-1.502E-11,36.601,15.016
-1.501E-11,36.603,15.011
-1.500E-11,36.604,15.003
-1.500E-11,36.605,15.003
-1.501E-11,36.606,15.005
-1.500E-11,36.618,15.005
-1.499E-11,36.622,14.995
-1.500E-11,36.624,14.998
-1.499E-11,36.625,14.989
-1.499E-11,36.631,14.989
-1.498E-11,36.638,14.983
-1.498E-11,36.641,14.979
-1.497E-11,36.642,14.974
-1.497E-11,36.645,14.971
-1.497E-11,36.644,14.967
-1.496E-11,36.646,14.964
-1.497E-11,36.651,14.968
-1.497E-11,36.657,14.967
-1.497E-11,36.660,14.968
-1.496E-11,36.668,14.962
-1.496E-11,36.678,14.961
-1.495E-11,36.681,14.947
-1.493E-11,36.691,14.932
-1.492E-11,36.695,14.917
-1.491E-11,36.698,14.906
-1.490E-11,36.700,14.899
-1.489E-11,36.705,14.890
-1.489E-11,36.705,14.888
-1.488E-11,36.719,14.883
-1.487E-11,36.729,14.874
-1.486E-11,36.737,14.864
