Current (A),Voltage (V),Electron current (pA)
3.870E-15,5.604,-0.004
2.368E-15,5.631,-0.002
1.392E-15,5.663,-0.001
3.613E-15,5.671,-0.004
7.397E-15,5.687,-0.007
2.783E-15,5.708,-0.003
5.957E-15,5.724,-0.006
4.272E-15,5.741,-0.004
1.501E-15,5.760,-0.002
3.003E-15,5.780,-0.003
1.855E-15,5.825,-0.002
3.394E-15,5.867,-0.003
3.882E-15,5.904,-0.004
6.250E-15,5.976,-0.006
3.503E-15,6.019,-0.004
3.027E-15,6.036,-0.003
2.075E-15,6.064,-0.002
6.177E-15,6.097,-0.006
5.737E-15,6.130,-0.006
7.202E-15,6.151,-0.007
9.656E-15,6.194,-0.010
4.993E-15,6.234,-0.005
3.638E-15,6.296,-0.004
6.995E-15,6.352,-0.007
3.076E-15,6.411,-0.003
6.238E-15,6.466,-0.006
1.099E-15,6.508,-0.001
3.308E-15,6.540,-0.003
6.262E-15,6.597,-0.006
4.504E-15,6.651,-0.005
7.678E-15,6.708,-0.008
3.149E-15,6.758,-0.003
1.019E-14,6.807,-0.010
4.065E-15,6.883,-0.004
4.333E-15,6.973,-0.004
3.723E-15,7.044,-0.004
7.727E-15,7.109,-0.008
3.857E-15,7.139,-0.004
2.393E-15,7.150,-0.002
2.661E-15,7.179,-0.003
4.492E-15,7.208,-0.004
5.286E-15,7.245,-0.005
3.577E-15,7.300,-0.004
8.081E-15,7.338,-0.008
6.091E-15,7.388,-0.006
5.896E-15,7.420,-0.006
6.860E-15,7.441,-0.007
9.753E-15,7.476,-0.010
8.533E-15,7.516,-0.009
8.398E-15,7.552,-0.008
7.202E-15,7.586,-0.007
7.800E-15,7.637,-0.008
4.553E-15,7.658,-0.005
1.843E-15,7.711,-0.002
6.104E-15,7.753,-0.006
6.897E-15,7.787,-0.007
8.984E-15,7.809,-0.009
6.152E-15,7.854,-0.006
6.616E-15,7.889,-0.007
5.798E-15,7.906,-0.006
3.748E-15,7.923,-0.004
2.454E-15,7.935,-0.002
6.348E-15,7.935,-0.006
5.908E-15,7.945,-0.006
8.533E-15,7.951,-0.009
8.398E-15,7.953,-0.008
8.179E-15,7.953,-0.008
7.056E-15,7.952,-0.007
8.447E-15,7.955,-0.008
5.371E-15,7.971,-0.005
8.008E-15,7.980,-0.008
1.044E-14,8.000,-0.010
9.290E-15,8.007,-0.009
8.472E-15,8.016,-0.008
1.044E-14,8.052,-0.010
7.397E-15,8.096,-0.007
8.459E-15,8.136,-0.008
7.739E-15,8.174,-0.008
9.814E-15,8.216,-0.010
8.362E-15,8.253,-0.008
4.382E-15,8.289,-0.004
7.788E-15,8.329,-0.008
4.785E-15,8.356,-0.005
7.117E-15,8.361,-0.007
3.809E-15,8.391,-0.004
4.248E-15,8.417,-0.004
3.296E-15,8.442,-0.003
6.702E-15,8.480,-0.007
-3.906E-16,8.527,3.906E-4
-1.550E-15,8.565,0.002
1.355E-15,8.597,-0.001
-1.343E-16,8.638,1.343E-4
9.155E-16,8.665,-9.155E-4
-1.550E-15,8.684,0.002
1.758E-15,8.733,-0.002
3.528E-15,8.803,-0.004
2.710E-15,8.821,-0.003
1.404E-15,8.844,-0.001
1.062E-15,8.892,-0.001
5.859E-15,8.946,-0.006
5.859E-15,8.972,-0.006
2.539E-15,8.977,-0.003
2.588E-15,8.991,-0.003
3.943E-15,9.021,-0.004
6.958E-16,9.087,-6.958E-4
1.379E-15,9.191,-0.001
-7.202E-16,9.295,7.202E-4
4.297E-15,9.367,-0.004
5.371E-16,9.437,-5.371E-4
-2.429E-15,9.492,0.002
4.102E-15,9.547,-0.004
1.782E-15,9.607,-0.002
9.399E-16,9.655,-9.399E-4
2.979E-15,9.740,-0.003
2.209E-15,9.842,-0.002
1.733E-15,9.910,-0.002
1.990E-15,9.960,-0.002
1.489E-15,9.991,-0.001
2.075E-16,10.018,-2.075E-4
3.296E-15,10.061,-0.003
2.173E-15,10.128,-0.002
5.615E-15,10.211,-0.006
6.836E-15,10.256,-0.007
3.992E-15,10.271,-0.004
1.489E-15,10.278,-0.001
2.087E-15,10.281,-0.002
3.503E-15,10.278,-0.004
5.981E-16,10.281,-5.981E-4
4.333E-15,10.280,-0.004
8.777E-15,10.281,-0.009
8.838E-15,10.281,-0.009
7.446E-15,10.294,-0.007
5.762E-15,10.351,-0.006
2.747E-15,10.407,-0.003
2.051E-15,10.486,-0.002
7.568E-16,10.559,-7.568E-4
4.333E-15,10.625,-0.004
5.200E-15,10.692,-0.005
5.920E-15,10.728,-0.006
1.440E-15,10.759,-0.001
9.119E-15,10.796,-0.009
9.009E-15,10.831,-0.009
2.649E-15,10.861,-0.003
3.918E-15,10.895,-0.004
7.117E-15,10.925,-0.007
2.869E-15,10.947,-0.003
-1.282E-15,10.970,0.001
1.501E-15,11.002,-0.002
5.664E-15,11.023,-0.006
7.141E-15,11.043,-0.007
2.417E-15,11.086,-0.002
5.542E-15,11.123,-0.006
1.697E-15,11.147,-0.002
1.099E-16,11.180,-1.099E-4
7.813E-16,11.218,-7.813E-4
5.615E-16,11.245,-5.615E-4
-1.355E-15,11.302,0.001
-8.057E-15,11.349,0.008
-4.517E-15,11.391,0.005
-2.356E-15,11.433,0.002
-4.626E-15,11.482,0.005
-4.321E-15,11.531,0.004
-7.263E-15,11.581,0.007
-1.125E-14,11.634,0.011
-9.253E-15,11.680,0.009
-1.600E-14,11.731,0.016
-1.360E-14,11.764,0.014
-1.698E-14,11.802,0.017
-2.220E-14,11.843,0.022
-2.468E-14,11.891,0.025
-2.771E-14,11.915,0.028
-3.114E-14,11.930,0.031
-2.990E-14,11.973,0.030
-3.148E-14,12.005,0.031
-3.831E-14,12.027,0.038
-4.263E-14,12.051,0.043
-4.388E-14,12.080,0.044
-4.839E-14,12.115,0.048
-4.694E-14,12.163,0.047
-5.212E-14,12.203,0.052
-5.586E-14,12.228,0.056
-6.473E-14,12.247,0.065
-6.472E-14,12.256,0.065
-6.617E-14,12.267,0.066
-6.337E-14,12.273,0.063
-6.656E-14,12.293,0.067
-6.891E-14,12.316,0.069
-7.023E-14,12.346,0.070
-7.812E-14,12.380,0.078
-8.228E-14,12.404,0.082
-8.273E-14,12.440,0.083
-8.813E-14,12.453,0.088
-9.189E-14,12.462,0.092
-9.489E-14,12.474,0.095
-9.681E-14,12.485,0.097
-9.926E-14,12.491,0.099
-1.012E-13,12.502,0.101
-1.003E-13,12.503,0.100
-1.034E-13,12.505,0.103
-1.044E-13,12.506,0.104
-1.039E-13,12.507,0.104
