"Current (A) Run #29","Voltage (V) Run #29","Electron current (pA) Run #29"
-9.727E-14,13.861,0.097
-9.690E-14,13.889,0.097
-9.761E-14,13.926,0.098
-9.845E-14,13.972,0.098
-1.059E-13,14.017,0.106
-1.098E-13,14.065,0.110
-1.181E-13,14.051,0.118
-1.203E-13,14.086,0.120
-1.247E-13,14.109,0.125
-1.265E-13,14.135,0.127
-1.318E-13,14.161,0.132
-1.332E-13,14.186,0.133
-1.319E-13,14.221,0.132
-1.358E-13,14.269,0.136
-1.434E-13,14.301,0.143
-1.451E-13,14.334,0.145
-1.533E-13,14.373,0.153
-1.513E-13,14.404,0.151
-1.573E-13,14.419,0.157
-1.582E-13,14.454,0.158
-1.618E-13,14.486,0.162
-1.675E-13,14.519,0.167
-1.721E-13,14.544,0.172
-1.751E-13,14.573,0.175
-1.792E-13,14.605,0.179
-1.884E-13,14.630,0.188
-1.937E-13,14.672,0.194
-1.988E-13,14.725,0.199
-1.994E-13,14.798,0.199
-2.071E-13,14.860,0.207
-2.167E-13,14.903,0.217
-2.247E-13,14.953,0.225
-2.328E-13,14.987,0.233
-2.423E-13,15.015,0.242
-2.541E-13,15.039,0.254
-2.575E-13,15.066,0.257
-2.711E-13,15.110,0.271
-2.693E-13,15.155,0.269
-2.795E-13,15.178,0.280
-2.834E-13,15.210,0.283
-2.895E-13,15.236,0.290
-2.934E-13,15.248,0.293
-3.039E-13,15.256,0.304
-3.130E-13,15.277,0.313
-3.182E-13,15.312,0.318
-3.297E-13,15.356,0.330
-3.389E-13,15.383,0.339
-3.574E-13,15.418,0.357
-3.773E-13,15.449,0.377
-3.877E-13,15.490,0.388
-4.006E-13,15.530,0.401
-4.078E-13,15.559,0.408
-4.216E-13,15.584,0.422
-4.317E-13,15.616,0.432
-4.394E-13,15.637,0.439
-4.462E-13,15.655,0.446
-4.502E-13,15.682,0.450
-4.578E-13,15.714,0.458
-4.662E-13,15.745,0.466
-4.709E-13,15.765,0.471
-4.792E-13,15.775,0.479
-4.857E-13,15.771,0.486
-4.901E-13,15.779,0.490
-4.914E-13,15.780,0.491
-4.945E-13,15.839,0.494
-5.005E-13,15.930,0.501
-5.047E-13,15.991,0.505
-5.165E-13,16.051,0.517
-5.279E-13,16.116,0.528
-5.452E-13,16.154,0.545
-5.565E-13,16.208,0.557
-5.743E-13,16.254,0.574
-5.875E-13,16.275,0.587
-5.991E-13,16.287,0.599
-6.085E-13,16.325,0.608
-6.151E-13,16.364,0.615
-6.247E-13,16.399,0.625
-6.400E-13,16.425,0.640
-6.478E-13,16.451,0.648
-6.551E-13,16.464,0.655
-6.607E-13,16.483,0.661
-6.692E-13,16.503,0.669
-6.735E-13,16.527,0.673
-6.825E-13,16.570,0.682
-6.863E-13,16.613,0.686
-6.960E-13,16.641,0.696
-7.038E-13,16.672,0.704
-7.161E-13,16.697,0.716
-7.227E-13,16.710,0.723
-7.357E-13,16.723,0.736
-7.411E-13,16.745,0.741
-7.505E-13,16.770,0.751
-7.570E-13,16.780,0.757
-7.622E-13,16.789,0.762
-7.683E-13,16.799,0.768
-7.748E-13,16.811,0.775
-7.727E-13,16.817,0.773
-7.796E-13,16.825,0.780
-7.797E-13,16.827,0.780
-7.815E-13,16.826,0.781
-7.825E-13,16.837,0.783
-7.863E-13,16.843,0.786
-7.874E-13,16.852,0.787
-7.856E-13,16.862,0.786
-7.861E-13,16.882,0.786
-7.901E-13,16.893,0.790
-7.955E-13,16.920,0.796
-8.026E-13,16.946,0.803
-8.042E-13,16.962,0.804
-8.095E-13,16.989,0.810
-8.167E-13,17.012,0.817
-8.237E-13,17.017,0.824
-8.254E-13,17.033,0.825
-8.346E-13,17.051,0.835
-8.420E-13,17.067,0.842
-8.457E-13,17.089,0.846
-8.529E-13,17.111,0.853
-8.565E-13,17.135,0.857
-8.646E-13,17.146,0.865
-8.749E-13,17.153,0.875
-8.772E-13,17.166,0.877
-8.797E-13,17.179,0.880
-8.837E-13,17.193,0.884
-8.899E-13,17.204,0.890
-8.886E-13,17.220,0.889
-8.947E-13,17.227,0.895
-8.958E-13,17.248,0.896
-8.985E-13,17.229,0.898
-9.044E-13,17.232,0.904
-9.052E-13,17.232,0.905
-9.089E-13,17.233,0.909
-9.116E-13,17.233,0.912
-9.108E-13,17.232,0.911
-9.115E-13,17.234,0.911
-9.072E-13,17.233,0.907
-9.091E-13,17.237,0.909
-9.105E-13,17.227,0.911
-9.093E-13,17.226,0.909
-9.081E-13,17.236,0.908
-9.087E-13,17.233,0.909
-9.119E-13,17.249,0.912
-9.087E-13,17.286,0.909
-9.113E-13,17.326,0.911
-9.193E-13,17.364,0.919
-9.253E-13,17.392,0.925
-9.354E-13,17.418,0.935
-9.466E-13,17.435,0.947
-9.554E-13,17.467,0.955
-9.582E-13,17.472,0.958
-9.695E-13,17.502,0.970
-9.733E-13,17.525,0.973
-9.760E-13,17.547,0.976
-9.876E-13,17.563,0.988
-9.929E-13,17.593,0.993
-1.004E-12,17.608,1.004
-1.005E-12,17.625,1.005
-1.009E-12,17.646,1.009
-1.019E-12,17.666,1.019
-1.026E-12,17.687,1.026
-1.031E-12,17.710,1.031
-1.039E-12,17.734,1.039
-1.047E-12,17.751,1.047
-1.054E-12,17.767,1.054
-1.063E-12,17.772,1.063
-1.067E-12,17.787,1.067
-1.072E-12,17.804,1.072
-1.078E-12,17.811,1.078
-1.078E-12,17.835,1.078
-1.085E-12,17.860,1.085
-1.084E-12,17.880,1.084
-1.092E-12,17.888,1.092
-1.099E-12,17.897,1.099
-1.104E-12,17.907,1.104
-1.109E-12,17.913,1.109
