"Current (A) Run #33","Voltage (V) Run #33","Electron current (pA) Run #33"
-1.830E-11,17.160,18.297
-1.906E-11,17.300,19.055
-1.990E-11,17.366,19.901
-2.072E-11,17.389,20.715
-2.142E-11,17.401,21.422
-2.192E-11,17.430,21.923
-2.227E-11,17.483,22.270
-2.254E-11,17.488,22.536
-2.276E-11,17.503,22.756
-2.293E-11,17.520,22.926
-2.305E-11,17.566,23.053
-2.320E-11,17.594,23.199
-2.336E-11,17.603,23.357
-2.349E-11,17.610,23.492
-2.359E-11,17.684,23.590
-2.373E-11,17.761,23.725
-2.395E-11,17.793,23.954
-2.422E-11,17.818,24.223
-2.448E-11,17.907,24.479
-2.478E-11,18.014,24.780
-2.520E-11,18.106,25.198
-2.569E-11,18.212,25.694
-2.625E-11,18.287,26.254
-2.686E-11,18.364,26.858
-2.744E-11,18.417,27.445
-2.796E-11,18.470,27.957
-2.840E-11,18.513,28.405
-2.879E-11,18.529,28.793
-2.909E-11,18.535,29.092
-2.927E-11,18.536,29.274
-2.936E-11,18.544,29.360
-2.937E-11,18.535,29.375
-2.934E-11,18.546,29.337
-2.929E-11,18.611,29.287
-2.930E-11,18.670,29.301
-2.940E-11,18.701,29.399
-2.956E-11,18.778,29.564
-2.979E-11,18.856,29.786
-3.007E-11,18.885,30.073
-3.036E-11,18.905,30.359
-3.059E-11,18.934,30.592
-3.078E-11,18.979,30.776
-3.095E-11,19.011,30.950
-3.110E-11,19.021,31.099
-3.122E-11,19.066,31.216
-3.133E-11,19.081,31.327
-3.142E-11,19.089,31.420
-3.149E-11,19.099,31.486
-3.152E-11,19.120,31.521
-3.153E-11,19.165,31.532
-3.157E-11,19.230,31.574
-3.168E-11,19.278,31.683
-3.185E-11,19.327,31.854
-3.206E-11,19.376,32.065
-3.229E-11,19.410,32.288
-3.250E-11,19.458,32.502
-3.271E-11,19.507,32.708
-3.293E-11,19.598,32.928
-3.319E-11,19.677,33.185
-3.350E-11,19.710,33.498
-3.382E-11,19.745,33.817
-3.410E-11,19.835,34.097
-3.438E-11,19.922,34.381
-3.473E-11,19.999,34.726
-3.510E-11,20.064,35.103
-3.547E-11,20.110,35.473
