Current (A) Run #16;Voltage (V) Run #16;Electron current (pA) Run #16
-4.639E-16;9.689;4.639E-4
2.307E-15;9.731;-0.002
6.140E-15;9.807;-0.006
3.638E-15;9.872;-0.004
7.581E-15;9.921;-0.008
3.796E-15;9.961;-0.004
3.650E-15;9.990;-0.004
7.043E-15;10.025;-0.007
4.700E-15;10.048;-0.005
5.078E-15;10.067;-0.005
2.441E-17;10.092;-2.441E-5
4.541E-15;10.114;-0.005
8.716E-15;10.134;-0.009
6.116E-15;10.163;-0.006
2.441E-15;10.182;-0.002
3.625E-15;10.203;-0.004
2.979E-15;10.217;-0.003
5.676E-15;10.225;-0.006
7.983E-15;10.225;-0.008
5.396E-15;10.228;-0.005
3.748E-15;10.239;-0.004
6.812E-15;10.261;-0.007
1.392E-15;10.283;-0.001
4.724E-15;10.311;-0.005
4.956E-15;10.348;-0.005
2.930E-15;10.368;-0.003
3.674E-15;10.380;-0.004
1.538E-15;10.393;-0.002
4.480E-15;10.399;-0.004
6.189E-15;10.406;-0.006
3.223E-15;10.415;-0.003
6.006E-15;10.438;-0.006
6.714E-15;10.480;-0.007
6.555E-15;10.556;-0.007
7.458E-15;10.596;-0.007
8.887E-15;10.631;-0.009
1.028E-14;10.669;-0.010
3.333E-15;10.699;-0.003
8.765E-15;10.716;-0.009
9.766E-17;10.740;-9.766E-5
-1.587E-16;10.807;1.587E-4
3.772E-15;10.892;-0.004
3.296E-15;10.945;-0.003
1.025E-15;10.971;-0.001
3.162E-15;10.993;-0.003
2.417E-15;11.016;-0.002
2.161E-15;11.025;-0.002
3.259E-15;11.032;-0.003
1.343E-16;11.062;-1.343E-4
4.370E-15;11.088;-0.004
1.990E-15;11.119;-0.002
5.872E-15;11.146;-0.006
2.466E-15;11.153;-0.002
5.383E-15;11.162;-0.005
6.592E-15;11.177;-0.007
1.040E-14;11.202;-0.010
6.921E-15;11.213;-0.007
7.471E-15;11.220;-0.007
9.900E-15;11.245;-0.010
1.055E-14;11.268;-0.011
1.304E-14;11.285;-0.013
1.058E-14;11.297;-0.011
1.163E-14;11.309;-0.012
1.019E-14;11.325;-0.010
1.136E-14;11.342;-0.011
5.701E-15;11.348;-0.006
7.812E-16;11.362;-7.812E-4
7.202E-16;11.380;-7.202E-4
-8.057E-16;11.384;8.057E-4
1.099E-16;11.383;-1.099E-4
2.075E-15;11.391;-0.002
6.519E-15;11.391;-0.007
4.773E-15;11.385;-0.005
6.506E-15;11.387;-0.007
5.090E-15;11.387;-0.005
4.919E-15;11.390;-0.005
2.332E-15;11.387;-0.002
7.910E-15;11.390;-0.008
6.177E-15;11.404;-0.006
6.665E-15;11.434;-0.007
1.056E-14;11.481;-0.011
1.068E-14;11.505;-0.011
1.420E-14;11.514;-0.014
8.728E-15;11.517;-0.009
9.338E-15;11.521;-0.009
3.638E-15;11.526;-0.004
5.615E-15;11.552;-0.006
9.424E-15;11.570;-0.009
9.131E-15;11.575;-0.009
8.716E-15;11.578;-0.009
6.091E-15;11.583;-0.006
7.056E-15;11.609;-0.007
5.945E-15;11.639;-0.006
3.564E-15;11.652;-0.004
4.358E-15;11.665;-0.004
3.662E-15;11.685;-0.004
8.423E-16;11.702;-8.423E-4
-4.395E-16;11.711;4.395E-4
2.820E-15;11.709;-0.003
1.172E-15;11.735;-0.001
5.969E-15;11.762;-0.006
-1.831E-16;11.776;1.831E-4
1.685E-15;11.783;-0.002
-9.521E-16;11.800;9.521E-4
3.247E-15;11.818;-0.003
3.870E-15;11.841;-0.004
-1.440E-15;11.873;0.001
2.124E-15;11.900;-0.002
3.674E-15;11.920;-0.004
7.202E-16;11.941;-7.202E-4
5.493E-16;11.964;-5.493E-4
-4.358E-15;11.976;0.004
-1.782E-15;11.999;0.002
-5.408E-15;12.020;0.005
-7.104E-15;12.045;0.007
-1.167E-14;12.056;0.012
-1.392E-14;12.072;0.014
-1.343E-14;12.092;0.013
-1.029E-14;12.114;0.010
-1.190E-14;12.137;0.012
-1.233E-14;12.156;0.012
-1.364E-14;12.177;0.014
-1.382E-14;12.187;0.014
-1.602E-14;12.198;0.016
-1.307E-14;12.203;0.013
-1.887E-14;12.205;0.019
-1.562E-14;12.204;0.016
-1.434E-14;12.204;0.014
-1.560E-14;12.211;0.016
-1.829E-14;12.200;0.018
-1.711E-14;12.206;0.017
-1.523E-14;12.209;0.015
-2.368E-14;12.200;0.024
-1.783E-14;12.198;0.018
-1.901E-14;12.201;0.019
-1.838E-14;12.203;0.018
-1.115E-14;12.205;0.011
-1.150E-14;12.211;0.011
-1.360E-14;12.220;0.014
-1.321E-14;12.232;0.013
-1.393E-14;12.239;0.014
-1.615E-14;12.242;0.016
-1.632E-14;12.246;0.016
-1.677E-14;12.249;0.017
-1.575E-14;12.247;0.016
-1.584E-14;12.257;0.016
-1.190E-14;12.247;0.012
-1.610E-14;12.260;0.016
-1.589E-14;12.281;0.016
-1.583E-14;12.312;0.016
-2.142E-14;12.329;0.021
-1.913E-14;12.339;0.019
-2.019E-14;12.352;0.020
-2.075E-14;12.359;0.021
-2.494E-14;12.370;0.025
-2.357E-14;12.376;0.024
-2.838E-14;12.376;0.028
-2.274E-14;12.391;0.023
-2.043E-14;12.404;0.020
-2.192E-14;12.399;0.022
-2.333E-14;12.402;0.023
-2.418E-14;12.407;0.024
-1.726E-14;12.415;0.017
-1.943E-14;12.419;0.019
-1.570E-14;12.419;0.016
-1.699E-14;12.422;0.017
-2.435E-14;12.437;0.024
-2.407E-14;12.451;0.024
-2.405E-14;12.453;0.024
-1.990E-14;12.465;0.020
-2.601E-14;12.470;0.026
-2.755E-14;12.482;0.028
-2.512E-14;12.490;0.025
-2.325E-14;12.500;0.023
-3.127E-14;12.506;0.031
-3.137E-14;12.519;0.031
-3.373E-14;12.525;0.034
-3.895E-14;12.531;0.039
-3.389E-14;12.528;0.034
-3.418E-14;12.533;0.034
-3.615E-14;12.533;0.036
-3.932E-14;12.545;0.039
-4.047E-14;12.590;0.040
-3.644E-14;12.601;0.036
-3.501E-14;12.613;0.035
-3.389E-14;12.609;0.034
-2.814E-14;12.616;0.028
-3.014E-14;12.637;0.030
-3.629E-14;12.654;0.036
-3.951E-14;12.673;0.040
-3.727E-14;12.705;0.037
-3.887E-14;12.753;0.039
-3.074E-14;12.741;0.031
-3.788E-14;12.768;0.038
-4.106E-14;12.780;0.041
-3.977E-14;12.782;0.040
-4.153E-14;12.799;0.042
-4.076E-14;12.825;0.041
-4.431E-14;12.850;0.044
-4.474E-14;12.872;0.045
-4.657E-14;12.899;0.047
-4.652E-14;12.914;0.047
-4.755E-14;12.942;0.048
-5.320E-14;12.950;0.053
-5.702E-14;12.951;0.057
-5.697E-14;12.960;0.057
-5.745E-14;12.979;0.057
-5.870E-14;12.986;0.059
-5.377E-14;12.996;0.054
-5.793E-14;13.027;0.058
-5.975E-14;13.042;0.060
-6.639E-14;13.048;0.066
-6.797E-14;13.071;0.068
-6.927E-14;13.083;0.069
-6.991E-14;13.086;0.070
-7.469E-14;13.085;0.075
-7.474E-14;13.087;0.075
-7.245E-14;13.085;0.072
-7.272E-14;13.086;0.073
-7.472E-14;13.089;0.075
-7.644E-14;13.087;0.076
-7.543E-14;13.084;0.075
-7.197E-14;13.088;0.072
-7.395E-14;13.090;0.074
-7.292E-14;13.089;0.073
-7.515E-14;13.087;0.075
-7.594E-14;13.102;0.076
-7.825E-14;13.093;0.078
-7.046E-14;13.088;0.070
-7.335E-14;13.091;0.073
-7.561E-14;13.089;0.076
-7.552E-14;13.093;0.076
-7.288E-14;13.089;0.073
-7.697E-14;13.092;0.077
-7.227E-14;13.082;0.072
-6.831E-14;13.088;0.068
-7.158E-14;13.091;0.072
-7.157E-14;13.090;0.072
-7.380E-14;13.091;0.074
-7.240E-14;13.088;0.072
-7.360E-14;13.087;0.074
-7.091E-14;13.087;0.071
-7.031E-14;13.084;0.070
-6.760E-14;13.088;0.068
-6.840E-14;13.088;0.068
-7.496E-14;13.087;0.075
-7.269E-14;13.094;0.073
-6.621E-14;13.087;0.066
-6.987E-14;13.088;0.070
-7.137E-14;13.086;0.071
-7.280E-14;13.089;0.073
-7.738E-14;13.089;0.077
-7.545E-14;13.090;0.075
-7.506E-14;13.087;0.075
-7.656E-14;13.086;0.077
-7.443E-14;13.087;0.074
-7.324E-14;13.093;0.073
-7.346E-14;13.087;0.073
-7.244E-14;13.081;0.072
-7.115E-14;13.079;0.071
-7.549E-14;13.087;0.075
-7.205E-14;13.086;0.072
-6.896E-14;13.086;0.069
-7.190E-14;13.086;0.072
-6.914E-14;13.086;0.069
-7.130E-14;13.086;0.071
-6.680E-14;13.087;0.067
-7.148E-14;13.087;0.071
-7.684E-14;13.086;0.077
-7.443E-14;13.116;0.074
-6.976E-14;13.225;0.070
-7.540E-14;13.306;0.075
-7.799E-14;13.358;0.078
-8.239E-14;13.414;0.082
-9.298E-14;13.472;0.093
-1.032E-13;13.536;0.103
-1.141E-13;13.605;0.114
-1.210E-13;13.651;0.121
-1.232E-13;13.688;0.123
-1.316E-13;13.725;0.132
-1.417E-13;13.754;0.142
-1.463E-13;13.776;0.146
-1.555E-13;13.813;0.156
-1.650E-13;13.838;0.165
-1.712E-13;13.867;0.171
-1.770E-13;13.892;0.177
-1.764E-13;13.919;0.176
-1.900E-13;13.937;0.190
-1.898E-13;13.952;0.190
-1.937E-13;13.960;0.194
-2.020E-13;13.979;0.202
-2.043E-13;13.991;0.204
-2.088E-13;14.000;0.209
-2.165E-13;14.028;0.216
-2.169E-13;14.070;0.217
-2.242E-13;14.089;0.224
-2.297E-13;14.093;0.230
-2.372E-13;14.096;0.237
-2.379E-13;14.097;0.238
-2.422E-13;14.095;0.242
-2.405E-13;14.099;0.240
-2.404E-13;14.100;0.240
-2.452E-13;14.099;0.245
-2.453E-13;14.099;0.245
-2.411E-13;14.098;0.241
-2.436E-13;14.101;0.244
-2.399E-13;14.099;0.240
-2.426E-13;14.099;0.243
-2.443E-13;14.100;0.244
-2.480E-13;14.100;0.248
-2.428E-13;14.103;0.243
-2.451E-13;14.099;0.245
-2.447E-13;14.102;0.245
-2.387E-13;14.100;0.239
-2.384E-13;14.099;0.238
-2.363E-13;14.100;0.236
-2.441E-13;14.099;0.244
-2.428E-13;14.101;0.243
-2.423E-13;14.093;0.242
-2.441E-13;14.099;0.244
-2.465E-13;14.098;0.246
-2.517E-13;14.099;0.252
-2.535E-13;14.089;0.253
-2.523E-13;14.100;0.252
-2.478E-13;14.097;0.248
-2.482E-13;14.106;0.248
-2.404E-13;14.098;0.240
-2.464E-13;14.098;0.246
-2.466E-13;14.100;0.247
-2.433E-13;14.109;0.243
-2.443E-13;14.098;0.244
-2.459E-13;14.099;0.246
-2.404E-13;14.100;0.240
-2.436E-13;14.093;0.244
-2.405E-13;14.098;0.240
-2.351E-13;14.100;0.235
-2.355E-13;14.100;0.236
-2.379E-13;14.102;0.238
-2.350E-13;14.100;0.235
-2.246E-13;14.099;0.225
-2.241E-13;14.099;0.224
-2.231E-13;14.101;0.223
-2.279E-13;14.098;0.228
-2.314E-13;14.100;0.231
-2.314E-13;14.101;0.231
-2.264E-13;14.101;0.226
-2.270E-13;14.103;0.227
-2.258E-13;14.100;0.226
-2.232E-13;14.100;0.223
-2.245E-13;14.101;0.225
-2.224E-13;14.101;0.222
-2.200E-13;14.103;0.220
-2.206E-13;14.097;0.221
-2.237E-13;14.101;0.224
-2.256E-13;14.102;0.226
-2.196E-13;14.101;0.220
-2.212E-13;14.099;0.221
-2.261E-13;14.101;0.226
-2.245E-13;14.099;0.224
-2.231E-13;14.100;0.223
-2.251E-13;14.102;0.225
-2.253E-13;14.094;0.225
-2.259E-13;14.100;0.226
-2.251E-13;14.100;0.225
-2.246E-13;14.102;0.225
-2.221E-13;14.100;0.222
-2.217E-13;14.099;0.222
-2.234E-13;14.099;0.223
-2.179E-13;14.100;0.218
-2.268E-13;14.088;0.227
-2.224E-13;14.099;0.222
-2.233E-13;14.086;0.223
-2.192E-13;14.091;0.219
-2.201E-13;14.099;0.220
-2.192E-13;14.099;0.219
-2.163E-13;14.103;0.216
-2.144E-13;14.098;0.214
-2.145E-13;14.100;0.214
-2.172E-13;14.102;0.217
-2.170E-13;14.098;0.217
-2.154E-13;14.098;0.215
-2.141E-13;14.095;0.214
-2.168E-13;14.098;0.217
-2.175E-13;14.099;0.218
-2.174E-13;14.101;0.217
-2.150E-13;14.099;0.215
-2.164E-13;14.100;0.216
-2.130E-13;14.099;0.213
-2.151E-13;14.100;0.215
-2.123E-13;14.099;0.212
-2.162E-13;14.098;0.216
-2.088E-13;14.098;0.209
-2.111E-13;14.098;0.211
-2.058E-13;14.099;0.206
-2.021E-13;14.099;0.202
-2.039E-13;14.095;0.204
-2.063E-13;14.099;0.206
-2.081E-13;14.101;0.208
-2.072E-13;14.097;0.207
-2.119E-13;14.099;0.212
-2.087E-13;14.101;0.209
-2.158E-13;14.098;0.216
-2.103E-13;14.099;0.210
-2.130E-13;14.099;0.213
-2.137E-13;14.099;0.214
-2.170E-13;14.100;0.217
-2.111E-13;14.101;0.211
-2.067E-13;14.099;0.207
-2.095E-13;14.100;0.209
-2.095E-13;14.102;0.210
-2.125E-13;14.102;0.212
-2.048E-13;14.101;0.205
-2.032E-13;14.102;0.203
-2.102E-13;14.101;0.210
-2.079E-13;14.099;0.208
-2.051E-13;14.104;0.205
-2.082E-13;14.103;0.208
-2.151E-13;14.102;0.215
-2.128E-13;14.100;0.213
-2.171E-13;14.103;0.217
-2.137E-13;14.102;0.214
-2.148E-13;14.101;0.215
-2.103E-13;14.104;0.210
-2.118E-13;14.103;0.212
-2.094E-13;14.105;0.209
-2.068E-13;14.103;0.207
-2.085E-13;14.102;0.208
-2.115E-13;14.103;0.211
-2.100E-13;14.103;0.210
-2.124E-13;14.102;0.212
-2.147E-13;14.103;0.215
-2.118E-13;14.102;0.212
-2.153E-13;14.105;0.215
-2.147E-13;14.102;0.215
-2.186E-13;14.104;0.219
-2.182E-13;14.102;0.218
-2.193E-13;14.104;0.219
-2.156E-13;14.103;0.216
-2.151E-13;14.102;0.215
-2.131E-13;14.105;0.213
-2.109E-13;14.105;0.211
-2.139E-13;14.100;0.214
-2.127E-13;14.102;0.213
-2.129E-13;14.103;0.213
-2.147E-13;14.101;0.215
-2.141E-13;14.105;0.214
-2.130E-13;14.102;0.213
-2.158E-13;14.102;0.216
-2.167E-13;14.103;0.217
-2.177E-13;14.103;0.218
-2.146E-13;14.103;0.215
-2.127E-13;14.102;0.213
-2.144E-13;14.111;0.214
-2.134E-13;14.131;0.213
-2.122E-13;14.218;0.212
-2.196E-13;14.275;0.220
-2.262E-13;14.314;0.226
-2.359E-13;14.378;0.236
-2.492E-13;14.431;0.249
-2.610E-13;14.478;0.261
-2.754E-13;14.505;0.275
-2.878E-13;14.524;0.288
-2.986E-13;14.569;0.299
-3.142E-13;14.594;0.314
-3.293E-13;14.630;0.329
-3.343E-13;14.671;0.334
-3.467E-13;14.704;0.347
-3.582E-13;14.745;0.358
-3.819E-13;14.769;0.382
-3.899E-13;14.789;0.390
-4.013E-13;14.808;0.401
-4.097E-13;14.811;0.410
-4.179E-13;14.818;0.418
-4.227E-13;14.863;0.423
-4.287E-13;14.945;0.429
-4.466E-13;14.977;0.447
-4.672E-13;14.991;0.467
-4.902E-13;14.994;0.490
-5.025E-13;14.994;0.502
-5.142E-13;14.996;0.514
-5.157E-13;14.995;0.516
-5.170E-13;14.997;0.517
-5.212E-13;14.994;0.521
-5.270E-13;15.017;0.527
-5.269E-13;15.049;0.527
-5.372E-13;15.074;0.537
-5.451E-13;15.081;0.545
-5.536E-13;15.091;0.554
-5.551E-13;15.088;0.555
-5.655E-13;15.092;0.566
-5.706E-13;15.094;0.571
-5.719E-13;15.097;0.572
-5.743E-13;15.091;0.574
-5.749E-13;15.087;0.575
-5.808E-13;15.090;0.581
-5.773E-13;15.095;0.577
-5.794E-13;15.094;0.579
-5.797E-13;15.093;0.580
-5.767E-13;15.093;0.577
-5.793E-13;15.093;0.579
-5.754E-13;15.093;0.575
-5.751E-13;15.091;0.575
-5.761E-13;15.090;0.576
-5.728E-13;15.089;0.573
-5.729E-13;15.095;0.573
-5.718E-13;15.091;0.572
-5.731E-13;15.094;0.573
-5.723E-13;15.092;0.572
-5.752E-13;15.091;0.575
-5.789E-13;15.091;0.579
-5.790E-13;15.103;0.579
-5.789E-13;15.093;0.579
-5.739E-13;15.093;0.574
-5.783E-13;15.092;0.578
-5.723E-13;15.092;0.572
-5.683E-13;15.093;0.568
-5.699E-13;15.092;0.570
-5.723E-13;15.092;0.572
-5.732E-13;15.090;0.573
-5.746E-13;15.094;0.575
-5.760E-13;15.093;0.576
-5.754E-13;15.084;0.575
-5.727E-13;15.094;0.573
-5.711E-13;15.091;0.571
-5.716E-13;15.096;0.572
-5.736E-13;15.092;0.574
-5.730E-13;15.093;0.573
-5.716E-13;15.095;0.572
-5.719E-13;15.091;0.572
-5.702E-13;15.093;0.570
-5.686E-13;15.093;0.569
-5.712E-13;15.092;0.571
-5.697E-13;15.092;0.570
-5.690E-13;15.094;0.569
