"Current (A) Run #32","Voltage (V) Run #32","Electron current (pA) Run #32"
-5.048E-13,27.909,0.505
-5.043E-13,27.932,0.504
-5.068E-13,27.929,0.507
-5.082E-13,27.972,0.508
-5.081E-13,28.000,0.508
-5.082E-13,28.013,0.508
-5.082E-13,28.045,0.508
-5.101E-13,28.088,0.510
-5.115E-13,28.108,0.512
-5.168E-13,28.135,0.517
-5.166E-13,28.179,0.517
-5.173E-13,28.191,0.517
-5.254E-13,28.206,0.525
-5.284E-13,28.246,0.528
-5.278E-13,28.289,0.528
-5.282E-13,28.310,0.528
-5.315E-13,28.335,0.532
-5.317E-13,28.421,0.532
-5.338E-13,28.479,0.534
-5.322E-13,28.495,0.532
-5.318E-13,28.503,0.532
-5.371E-13,28.538,0.537
-5.378E-13,28.608,0.538
-5.429E-13,28.660,0.543
-5.445E-13,28.677,0.545
-5.563E-13,28.684,0.556
-5.539E-13,28.703,0.554
-5.544E-13,28.733,0.554
-5.609E-13,28.779,0.561
-5.659E-13,28.829,0.566
-5.686E-13,28.887,0.569
-5.760E-13,28.924,0.576
-5.697E-13,28.974,0.570
-5.747E-13,29.014,0.575
-5.771E-13,29.046,0.577
-5.845E-13,29.067,0.584
-5.839E-13,29.073,0.584
-5.826E-13,29.083,0.583
-5.871E-13,29.097,0.587
-5.912E-13,29.119,0.591
-5.916E-13,29.139,0.592
-5.959E-13,29.172,0.596
-6.044E-13,29.244,0.604
-6.002E-13,29.296,0.600
-6.083E-13,29.341,0.608
-6.094E-13,29.366,0.609
-6.172E-13,29.407,0.617
-6.205E-13,29.454,0.621
-6.222E-13,29.471,0.622
-6.208E-13,29.495,0.621
-6.251E-13,29.540,0.625
-6.321E-13,29.592,0.632
-6.309E-13,29.610,0.631
-6.394E-13,29.641,0.639
-6.415E-13,29.681,0.642
-6.465E-13,29.725,0.646
-6.442E-13,29.773,0.644
-6.507E-13,29.843,0.651
-6.560E-13,29.884,0.656
-6.670E-13,29.897,0.667
-6.720E-13,29.909,0.672
-6.738E-13,29.927,0.674
-6.799E-13,29.964,0.680
-6.797E-13,30.002,0.680
-6.812E-13,30.045,0.681
-6.818E-13,30.074,0.682
-6.898E-13,30.099,0.690
-6.892E-13,30.152,0.689
-6.930E-13,30.202,0.693
-6.965E-13,30.257,0.696
-7.015E-13,30.295,0.701
-7.104E-13,30.328,0.710
-7.150E-13,30.372,0.715
-7.196E-13,30.433,0.720
-7.235E-13,30.478,0.724
-7.252E-13,30.540,0.725
-7.339E-13,30.575,0.734
-7.345E-13,30.619,0.735
-7.402E-13,30.670,0.740
-7.454E-13,30.686,0.745
-7.555E-13,30.716,0.755
-7.602E-13,30.737,0.760
-7.653E-13,30.756,0.765
-7.686E-13,30.771,0.769
-7.734E-13,30.789,0.773
-7.750E-13,30.800,0.775
-7.756E-13,30.813,0.776
-7.761E-13,30.834,0.776
-7.812E-13,30.877,0.781
-7.806E-13,30.896,0.781
-7.830E-13,30.908,0.783
-7.881E-13,30.958,0.788
-7.880E-13,30.976,0.788
-7.911E-13,31.004,0.791
-7.966E-13,31.035,0.797
-8.003E-13,31.061,0.800
-8.060E-13,31.083,0.806
-8.029E-13,31.101,0.803
-8.054E-13,31.140,0.805
-8.066E-13,31.192,0.807
-8.135E-13,31.267,0.813
-8.201E-13,31.312,0.820
-8.225E-13,31.354,0.822
-8.295E-13,31.383,0.830
-8.317E-13,31.422,0.832
-8.344E-13,31.472,0.834
-8.384E-13,31.524,0.838
-8.442E-13,31.585,0.844
-8.484E-13,31.646,0.848
-8.539E-13,31.692,0.854
-8.538E-13,31.729,0.854
-8.615E-13,31.762,0.861
-8.662E-13,31.817,0.866
-8.641E-13,31.849,0.864
-8.678E-13,31.886,0.868
-8.750E-13,31.896,0.875
-8.755E-13,31.918,0.875
-8.819E-13,31.955,0.882
-8.825E-13,32.028,0.883
-8.891E-13,32.059,0.889
-8.876E-13,32.117,0.888
-8.958E-13,32.151,0.896
-8.931E-13,32.195,0.893
-8.990E-13,32.234,0.899
-9.015E-13,32.292,0.901
-9.039E-13,32.343,0.904
-9.078E-13,32.416,0.908
-9.142E-13,32.500,0.914
-9.135E-13,32.546,0.914
-9.213E-13,32.591,0.921
-9.262E-13,32.644,0.926
-9.342E-13,32.688,0.934
-9.363E-13,32.734,0.936
-9.338E-13,32.772,0.934
-9.399E-13,32.830,0.940
-9.417E-13,32.864,0.942
-9.409E-13,32.871,0.941
-9.427E-13,32.877,0.943
-9.472E-13,32.889,0.947
-9.460E-13,32.925,0.946
-9.498E-13,32.954,0.950
-9.491E-13,32.970,0.949
-9.516E-13,32.988,0.952
-9.547E-13,33.014,0.955
-9.546E-13,33.022,0.955
-9.603E-13,33.064,0.960
-9.571E-13,33.104,0.957
-9.557E-13,33.147,0.956
-9.576E-13,33.171,0.958
-9.620E-13,33.188,0.962
-9.591E-13,33.226,0.959
-9.588E-13,33.262,0.959
-9.558E-13,33.287,0.956
-9.577E-13,33.317,0.958
-9.598E-13,33.341,0.960
-9.604E-13,33.407,0.960
-9.588E-13,33.469,0.959
-9.594E-13,33.496,0.959
-9.567E-13,33.505,0.957
-9.630E-13,33.517,0.963
-9.601E-13,33.536,0.960
-9.606E-13,33.543,0.961
-9.600E-13,33.545,0.960
-9.617E-13,33.545,0.962
-9.599E-13,33.550,0.960
-9.676E-13,33.543,0.968
-9.685E-13,33.546,0.969
-9.647E-13,33.548,0.965
-9.641E-13,33.547,0.964
-9.583E-13,33.566,0.958
-9.589E-13,33.603,0.959
